Unit ID,Display Name,Notes,Talent Branch,Talent Tier,Number Position,Talent Branch Dependant?,What does this number mean?,Scaling Formula / Pattern,Min Observed Value,Max Observed Value,Max Observed Value,Higher = Stronger?,Interaction with other numbers,Research Status,Source / Evidence
alchemist,Alchemist,"Counts total elixirs brewed across the match; one-time milestone bonus at 50 applies to all Alchemists on field",,,,No,"Accumulated elixirs brewed; L branch: each gives +0.25% attack speed to all Alchemists + one-time +30% buff at 50; R branch: each gives +0.3% damage + one-time +40% buff at 50","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":999,""weight"":0.5}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
blade_dancer,Blade Dancer,"L branch: 1.5% damage per flower up to 50 then 0.75%; R branch: 2% per flower up to 50 then 0.5%; threshold is same for both branches",,,,No,"Dance flower/charge count; each charge adds damage buff to Blade Dancer; value above 50 still increases but with diminishing returns","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":200,""weight"":0.5}]}",0,150,150,Yes,,In Progress,Talent tree screenshots
crystalmancer,Crystalmancer,R branch High Arcanist only — charge counter appears on Arcanist tile not regular mage tile,R,1,,Yes,"Arcanist attack charge count; each charge contributes to stacking damage bonus; after 500 charges each additional charge grants +0.4% damage though critical damage is reduced 3x","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":500,""weight"":1.0},{""from"":500,""to"":3000,""weight"":0.4}]}",0,2000,2000,Yes,,In Progress,Talent tree screenshots
cultist,Cultist,"Soul counter is present regardless of talent branch; L: at 20 souls Cultist transforms to Harbinger (+15% attack speed); R: every 5 souls summons a guardian demon",,,,No,"Soul count; each soul permanently increases Cultist damage by 2%; significant power spike at 20 (L: Harbinger transform) or every 5 (R: guardian summon)","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":20,""weight"":1.0},{""from"":20,""to"":150,""weight"":0.8}]}",0,100,100,Yes,,In Progress,Talent tree screenshots
demon_hunter,Demon Hunter,L branch Absorption of Evil — marks accumulate on Hunters; 90 mark threshold,L,1,,Yes,"Mark count on Hunter; each mark adds +6% damage up to 90 marks; after 90 each additional mark adds +1% — significant dropoff at 90","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":90,""weight"":1.0},{""from"":90,""to"":300,""weight"":0.17}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
demon_hunter,Demon Hunter,"R branch Twilight Hunting — Twilight Hunter form; different threshold from L branch at 60 marks",R,1,,Yes,"Mark count (Twilight Hunter form); each mark adds +4.2% damage up to 60 marks; after 60 each additional mark adds +1%","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":60,""weight"":1.0},{""from"":60,""to"":300,""weight"":0.24}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
franky_and_stein,Franky & Stein,"Bolt counter on Stein; only active with tier 4 Fixed talent (Steininator); bolts sent from kills on opponent field",Fixed,4,,Yes,"Bolt count received by Stein; at 60 bolts: crit damage +4% and movement-induced crit +100%; at 100 bolts: Stein gains final form +50% damage","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":60,""weight"":1.0},{""from"":60,""to"":100,""weight"":0.7},{""from"":100,""to"":300,""weight"":0.4}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
genie,Genie,"R branch tier 4 Magic Knockout only; charges accumulate from Mana Power-up uses since Mana Power-ups can be used twice with this talent",R,4,,Yes,"Magic charge count; at 100 charges: Magic Fists deal additional damage equal to 5% of target current HP; at 200 charges: +5% critical attack chance","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":100,""weight"":1.0},{""from"":100,""to"":200,""weight"":0.7},{""from"":200,""to"":500,""weight"":0.4}]}",0,300,300,Yes,,In Progress,Talent tree screenshots
knight_statue,Knight Statue,"L and R branches share the same threshold of 30; L boosts entire row; R boosts direct neighbors; charge mechanic is core to both builds",,,,No,"Bonus damage charge count; L branch: +1.2% damage to all units in same row per charge up to 30 then +0.3%; R branch: +1.2% to neighbors per charge up to 30 then +0.3%","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.25}]}",0,100,100,Yes,,In Progress,Talent tree screenshots
minotaur,Minotaur,"Fury charge counter present for both L and R branches; L: +0.5% per charge; R: +0.75% per charge; both drop to +0.25% after 300",,,,No,"Fury charge count accumulated from merges and rank increases; L branch: +0.5% extra damage per Fury charge up to 300 then +0.25%; R branch: +0.75% up to 300 then +0.25%","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":300,""weight"":1.0},{""from"":300,""to"":999,""weight"":0.5}]}",0,600,600,Yes,,In Progress,Talent tree screenshots
reaper,Reaper,L branch Ghostly Reaper only — trophy skull counter from instant kills; R branch does not use this counter,L,1,,Yes,"Trophy skull count from instant kills; each skull +2% damage inflicted by all Reapers on field up to 150 trophies; after 150 each gives only +0.3%","{""type"":""piecewise"",""segments"":[{""from"":0,""to"":150,""weight"":1.0},{""from"":150,""to"":500,""weight"":0.15}]}",0,300,300,Yes,,In Progress,Talent tree screenshots
