UNIT REFERENCE,,,TALENT SLOT,,,,MECHANICAL EFFECT,,,,OBSERVABLE SIGNATURES,,,,TRACKING,,
Unit ID,Display Name,Notes,Talent Tier (1-4),Branch (A/B/Fixed),Unlock Level,Talent Name / Label,Mechanical Effect (full description),Stat Change (if quantified),Ability Duration (if applicable),Assumed Level (inference rule),Observable Animation ID(s),Stat Number Change,Behavioral Signal,Distinguishes Branch?,Research Status,Source / Evidence,Last Updated
alchemist,Alchemist,,1,L,9,Invigorating Elixir,"Upon spawning or increasing merge rank, Alchemist brews an elixir for 30 seconds, then throws it at 2 units increasing attack speed by 20% for 20s. Each elixir increases all Alchemists' attack speed by 0.25%, and after 50 elixirs they get a single buff of 30%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
alchemist,Alchemist,,1,R,9,Battle Elixir,"Upon spawning or increasing merge rank, Alchemist brews an elixir for 30 seconds then throws it at an enemy unit, stunning them for 6 seconds (PvP). Every elixir brewed increases the damage done by all Alchemists by 0.3%, and after 50 elixirs they get a single buff of 40%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
alchemist,Alchemist,,2,L,11,Thermonuclear Reaction,"When they merge or boost their merge rank, Alchemists instantly brew and throw an elixir.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
alchemist,Alchemist,,2,R,11,Successful Experiment,The Alchemist has a 30% chance of using 2 elixirs.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
alchemist,Alchemist,,3,L,13,Homunculus,"If the Alchemist's trap failed to do any damage by the time it disappears, there's a 75% chance that it will generate an Explosive Slug that detonates upon contact with its first target to do 300% of the trap's damage to the area.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
alchemist,Alchemist,,3,R,13,Golem,"When the Alchemist is merged or his merge rank is increased, summons a Golem that blocks the monsters' movement and deals periodic damage equal to 750% of the trap's damage for 5.8 sec. The damage dealt is increased by 25% for each of the Alchemist's traps on the path. After defending the player, the Golem becomes a mini boss on the opponent's path (PvP).",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
alchemist,Alchemist,,4,Fixed,15,Magisterium,"The Alchemist has a 20% chance of appearing with a Philosopher's Stone that increases his crit chance by 5%. After merging or increasing merge rank, 3 other Alchemists start brewing a new elixir. The Alchemist himself also starts brewing a new elixir immediately after creating the previous one.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
archer,Archer,,1,L,9,Poisonous Arrows,"Every attack by the Archer has a 15% chance of hitting 2 random targets with a special Poison Arrow, which will periodically inflict the venom for 170% of the Archer's damage and increase the venomous infection damage received by 20%. Each hit from a Poison Arrow will increase the periodic damage by 10%, up to a maximum of 1600%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
archer,Archer,,1,R,9,Exploding Arrows,Every attack by the Archer has a 15% chance of hitting a random target with a special Exploding Arrow. The Exploding Arrow inflicts 350% of the Archer's damage as area damage.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
archer,Archer,,2,L,11,Jagged Tip,"When an Archer is summoned or merged, all Archers will inflict 30% extra damage with special arrows for 20s.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
archer,Archer,,2,R,11,Robust Bowstring,"When an Archer is summoned or merged, all Archers on the player's field will release 1 extra special arrows for 20s. These extra arrows will inflict 70% less damage.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
archer,Archer,,3,L,13,Mark of the Hawk,"When an Archer is summoned or merged, and also with a 5% chance when a monster dies, a random Archer will summon a hawk that moves towards the monsters and inflicts 400% of the Archer's attack damage. Every hawk receives a hunting mark, which increases the hawk's damage by 10% for each mark.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
archer,Archer,,3,R,13,Hawk Hunting,"Whenever a boss or mini boss appears, every Archer will launch a battle hawk at it. The hawk will inflict 600% of the Archer's damage in the area affected, and will also place a hunting mark on monsters in area. Every mark increases the Archer's damage against that target by 5%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
archer,Archer,,4,Fixed,15,Ranger,"There's a 15% chance of a Ranger appearing in place of the Archer, with a hawk on his shoulder. The Ranger has a bonus 2.5% chance of inflicting critical damage and a 30% chance of firing special arrows. Jagged Tip or Robust Bowstring are always active, and any merging or spawning of an Archer will increase their bonuses by 2 times.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
banshee,Banshee,,1,L,9,Coven,Banshee damage is increased by 18% for every Banshee in the chain. Maximum damage is reached with 6 Banshees.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
banshee,Banshee,,1,R,9,Solitude,"If there are no more than 4 Banshees on the field, Banshee attack radius is increased by 30% and damage by 35%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
banshee,Banshee,,2,L,11,Growing Anger,Using an active ability has a 10% chance to increase the merge rank of a random Banshee. The chance increases by 5% for every Banshee on the field.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
banshee,Banshee,,2,R,11,Spirit of Vengeance,"If there are 1 or fewer Banshees on the field, merging units results in a new Banshee. Damage of all Banshees is increased by 10%.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
banshee,Banshee,,3,L,13,Infirmity,Movement speed of monsters within the Banshee's attack radius is reduced by 30%. Armor of monsters within the Banshee's attack radius is reduced by 15%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
banshee,Banshee,,3,R,13,Decay,"Monsters within the Banshees' radius die at 25% health, while bosses die at 20% health.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
banshee,Banshee,,4,Fixed,15,Banshee's Wail,The Banshee's critical attack chance is increased by 5%. The duration of bosses and mini bosses being unable to use their abilities during the Shriek increases to 4 seconds.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
bard,Bard,,1,L,9,Accordionist,"Bards at the edges of the field become Drummers. Drummers gain Inspiration only from monsters in the area around them. In both modes they do not spend mana, but their mana accumulation rate is greatly reduced. In the Music mode, gaining inspiration is greatly reduced, but they consume mana. Also, the armor of monsters in the area is reduced by 2% per Drummer's merge rank.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
bard,Bard,,1,R,9,Drummer,"If there are no Accordionists on the field, one will appear at the next merging. The maximum number of Accordionists will increase at Inspiration levels 75, 150 and 300. The damage dealt by the Accordionist increases by 2% per rank; the bonus increases in proportion to the number of regular Bards with lutes, but does not exceed 42%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
bard,Bard,,2,L,11,Sonic Therapy,"After receiving Inspiration level 1, a random Bard afflicted with a negative effect has a 7.5% chance to be cleansed of it.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
bard,Bard,,2,R,11,Rapture,"In the Music mode, the Bard receives 300% bonus Inspiration if a boss is on the field, or 200% bonus Inspiration if there is a mini boss.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
bard,Bard,,3,L,13,Hymn of Vigor,Grants a temporary attack speed increase of 20% for 10s after leaving the Music mode.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
bard,Bard,,3,R,13,Aria of Power,Every level of Inspiration received in the Music mode increases the Bard's critical damage by 8% for 10s. The maximum bonus is 40%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
bard,Bard,,4,Fixed,15,Cacophony,"After attaining Inspiration level 300, the Bard, when firing, has a 4% chance to create a chaotic clump of notes that will inflict 100% of the Bard's damage in an area. Damage dealt by the clump is guaranteed to be critical.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
blade_dancer,Blade Dancer,,1,L,9,Floral Frenzy,"Every 10s, the Blade Dancer switches to the dancing state, retaining the attack speed bonus and passing a flower to another Dancer located diagonally. A Dancer with a flower deals 1.6% more damage up to 50 times, and after that 0.75% more. Receiving a flower switches her into the dancing state for 50s, granting a 35% chance for attacks to bounce to a nearby monster.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
blade_dancer,Blade Dancer,,1,R,9,Blooming Dash,"No longer receives an attack speed bonus when there are no other Blade Dancers nearby. When moving, a Blade Dancer not in dance mode grants a Tower that increases the damage of all Blade Dancers by 2% up to 50 times and by 0.5% after that.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
blade_dancer,Blade Dancer,,2,L,11,Elegant Parry,"Receiving a flower or moving the Dancer has a 75% chance of removing negative effects from her and neighboring units, and increases the damage dealt by the unit and neighboring units by 10% for 10s.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
blade_dancer,Blade Dancer,,2,R,11,Fencing with Giants,A Blade Dancer in dance mode gains increased damage to bosses and mini bosses by 30%.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
blade_dancer,Blade Dancer,,3,L,13,Serrated Blades,Being in dance mode increases the Blade Dancer's crit chance by 5%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
blade_dancer,Blade Dancer,,3,R,13,Triple Lunge,A Blade Dancer in dance mode has a 20% chance of throwing 3 additional blades at random targets on the field.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
blade_dancer,Blade Dancer,,4,Fixed,15,Dance of the Wind,"While attacking, the Blade Dancer has a 1% chance of summoning a tornado that moves towards monsters and deals 350% of the Blade Dancer's attack damage.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
boreas,Boreas,,1,L,9,Team Volley,"When merging, all Boreas enter the second phase. The interval for triggering the other phases is not reset.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
boreas,Boreas,,1,R,9,Second Breath,"With a 40% chance, the transition to the second phase is reactivated.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
boreas,Boreas,,2,L,11,Sleep Arrows,"Activation of the second phase with a 30% chance will fire two arrows at enemy units, slowing their attack by 25% for 10s in PvP and increasing attack speed in Co-Op.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
boreas,Boreas,,2,R,11,Shower of Arrows,"Activation of the second phase with a 50% chance will unleash a shower of arrows at the monsters, dealing 350 damage. The damage from this attack depends on the merge rank of the unit and is always critical damage.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
boreas,Boreas,,3,L,13,Doublet,Every third switching by Boreas to the second phase allows him to attack an additional target until the end of the phase.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
boreas,Boreas,,3,R,13,Precise Shooting,Every third switching by Boreas to the second phase increases his damage by 100% until the end of the phase.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
boreas,Boreas,,4,Fixed,15,Force of Wind,"With a 30% chance, upon entering the first phase Boreas receives a shield against negative effects until the end of the second phase. There's a 30% chance that moving into the second phase will speed up monsters on the opponent's field by 30%. In Co-Op mode it will slow down the monsters.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
bruiser,Bruiser,,1,L,9,Awakening Rage,"Merging and increasing rank near a Bruiser gives him a Clover leaf. Upon collecting a whole Clover, a Bruiser increases his damage by 23% for each Clover and becomes enraged. When collecting 2 whole Clovers, attack speed when enraged increases by 30%. After 50 Clovers, the damage bonus is reduced to 10%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
bruiser,Bruiser,,1,R,9,Furious Brotherhood,"Merging or absorbing a Bruiser gives a Clover leaf to 3 random Bruisers. Upon collecting a whole Clover, the damage of enraged Bruisers is increased by 10% for each Clover. If 6 or more Clovers are collected, there is a 50% chance that rage will be empowered. After 40 Clovers, the damage bonus is reduced to 2%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
bruiser,Bruiser,,2,L,11,On My Treat!,"When collecting a Clover and with a 10% chance when collecting a Clover leaf, a Bruiser hurls a mug that leaves a puddle that reduces monsters' armor by 30% to a maximum of 60% and increases received mana by 30%. The puddle exists for 10 sec.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
bruiser,Bruiser,,2,R,11,No Worries!,"After collecting a whole Clover, a Bruiser cleanses negative effects from 2 random Bruisers.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
bruiser,Bruiser,,3,L,13,Uppercut,There is a 5% chance that a Bruiser will deliver a power punch when attacking a boss or mini boss. Such punch deals 500% of the Bruiser's attack damage.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
bruiser,Bruiser,,3,R,13,Brawl,Bruiser damage is increased by 10% for every monster on the path. The maximum bonus is 80%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
bruiser,Bruiser,,4,Fixed,15,Knockout,"The first Bruiser will appear as a Ringleader. As long as there is a Ringleader on the battlefield, all Bruisers will have 5% higher chance of critical damage. If a Ringleader merges, it will jump to the most powerful monster on the path and will instantly kill it. If there are no Ringleaders on the battlefield, a random Bruiser with a low merge rank will become the Ringleader after 30 seconds.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
cold_mage,Cold Mage,,1,L,9,Blizzard,Has a 7% chance when attacking to summon a blizzard around the attacking target that slows targets down. The damage dealt is equal to the Cold Mage's damage.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
cold_mage,Cold Mage,,1,R,9,Cracking Ice,Frozen targets with health below 30% take 20% more damage.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
cold_mage,Cold Mage,,2,L,11,Heat Leak,"When the Cold Mage merges, a random unit on the opponent's field is frozen for 6s. Freeze duration increases with the merge rank. Does not work in Co-Op and single player modes.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
cold_mage,Cold Mage,,2,R,11,Flash of Frost,"When merging the Cold Mage, strikes slowed monsters with icicles, pinning frozen monsters to the ground for 1s and dealing 1000 damage. Damage and duration increase in proportion to merge rank.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
cold_mage,Cold Mage,,3,L,13,Deep Freeze,"Every 15 attacks, the Cold Mage freezes monsters for 4s. This effect activates once.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
cold_mage,Cold Mage,,3,R,13,Fierce Cold,Slows the target by an additional 5% on top of the max amount.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
cold_mage,Cold Mage,,4,Fixed,15,Deadly Cold,Frozen targets die if their health drops below 5%.,,,15,,,,No,Complete,In-game screenshot,2026-04-07
crystalmancer,Crystalmancer,,1,L,9,Crystal Arcanist,"A mage has a 35% chance to appear with a crystal, and merging that mage summons an Arcanist, reducing armor by 0.5% with its attack, up to 75%. If an Arcanist is in a corner or has 2 neighbors, it gains a 70% chain attack. The number of targets depends on its merge rank. Maximum 4 Arcanists.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
crystalmancer,Crystalmancer,,1,R,9,High Arcanist,"One mage on the battlefield is always an Arcanist. A mage has a chance of 40% to appear with a crystal, which instead of attacking monsters gives Arcanist a charge of 1.5%. Arcanist has 1000% area damage and attacks only every 3s, spending 3 charges per attack. After 500 charges, its damage increases by 0.4%. Arcanist's critical damage is reduced 3 times.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
crystalmancer,Crystalmancer,,2,L,11,Crystal Connection,The chance for a mage to appear with a crystal goes up by 35%. Arcanist's damage increases by 3% for every mage with a crystal on the battlefield.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
crystalmancer,Crystalmancer,,2,R,11,Crystallization,"Increasing rank and merging a mage spawns 2 crystals, which attack the first target and have the same stats as that mage with extra attack bonuses from Arcanist. The crystals appear for 15s and explode when a monster touches them, dealing 1000% of the mage's damage value.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
crystalmancer,Crystalmancer,,3,L,13,Lightning Rod,"Every 10s, each Arcanist on the battlefield charges its attack with electricity, increasing its critical chance by 100%. This attack leaves ball lightning, dealing 20% of Arcanist's damage value every 0.5s.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
crystalmancer,Crystalmancer,,3,R,13,Magma Flow,"When attacking, Arcanist has a 10% chance to unleash sprays of magma that set fire to a monster and its neighbors. Afflicted monsters take 135% of the mage's damage value in periodic damage and 20% increased critical damage from any source. The periodic damage stacks up to 5 times.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
crystalmancer,Crystalmancer,,4,Fixed,15,Absorb Energy,"After killing a boss, a low rank Arcanist has a 65% chance to absorb its energy and go up in merge rank. If there are no Arcanists on the battlefield, a random mage will rank up.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
cultist,Cultist,,1,L,9,Harbinger of Evil,"Cultists receive souls when merging or making a sacrifice. Each soul increases Cultist damage by 2%. When the number of souls reaches 20, a Cultist in demon form transforms into a Harbinger, which increases their attack speed by 15%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
