Unit ID,Display Name,Notes,Talent Branch,Talent Tier,Number Position,Talent Branch Dependant?,What does this number mean?,Scaling Formula / Pattern,Min Observed Value,Max Observed Value,Max Observed Value,Higher = Stronger?,Interaction with other numbers,Research Status,Source / Evidence
alchemist,Alchemist,Counts total elixirs brewed across the match; one-time milestone bonus at 50 applies to all Alchemists on field,,,tile,No,Accumulated elixirs brewed; L branch: each gives +0.25% attack speed to all Alchemists + one-time +30% buff at 50; R branch: each gives +0.3% damage + one-time +40% buff at 50,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":999,""weight"":0.5}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
blade_dancer,Blade Dancer,L branch: 1.5% damage per flower up to 50 then 0.75%; R branch: 2% per flower up to 50 then 0.5%; threshold is same for both branches,,,tile,No,Dance flower/charge count; each charge adds damage buff to Blade Dancer; value above 50 still increases but with diminishing returns,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":200,""weight"":0.5}]}",0,150,150,Yes,,In Progress,Talent tree screenshots
crystalmancer,Crystalmancer,R branch High Arcanist only — charge counter appears on Arcanist tile not regular mage tile,R,1,tile,Yes,Arcanist attack charge count; each charge contributes to stacking damage bonus; after 500 charges each additional charge grants +0.4% damage though critical damage is reduced 3x,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":500,""weight"":1.0},{""from"":500,""to"":3000,""weight"":0.4}]}",0,2000,2000,Yes,,In Progress,Talent tree screenshots
cultist,Cultist,Soul counter is present regardless of talent branch; L: at 20 souls Cultist transforms to Harbinger (+15% attack speed); R: every 5 souls summons a guardian demon,,,tile,No,Soul count; each soul permanently increases Cultist damage by 2%; significant power spike at 20 (L: Harbinger transform) or every 5 (R: guardian summon),"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":20,""weight"":1.0},{""from"":20,""to"":150,""weight"":0.8}]}",0,100,100,Yes,,In Progress,Talent tree screenshots
demon_hunter,Demon Hunter,L branch Absorption of Evil — marks accumulate on Hunters; 90 mark threshold,L,1,tile,Yes,Mark count on Hunter; each mark adds +6% damage up to 90 marks; after 90 each additional mark adds +1% — significant dropoff at 90,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":90,""weight"":1.0},{""from"":90,""to"":300,""weight"":0.17}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
demon_hunter,Demon Hunter,R branch Twilight Hunting — Twilight Hunter form; different threshold from L branch at 60 marks,R,1,tile,Yes,Mark count (Twilight Hunter form); each mark adds +4.2% damage up to 60 marks; after 60 each additional mark adds +1%,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":60,""weight"":1.0},{""from"":60,""to"":300,""weight"":0.24}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
franky_and_stein,Franky & Stein,Bolt counter on Stein; only active with tier 4 Fixed talent (Steininator); bolts sent from kills on opponent field,Fixed,4,tile,Yes,Bolt count received by Stein; at 60 bolts: crit damage +4% and movement-induced crit +100%; at 100 bolts: Stein gains final form +50% damage,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":60,""weight"":1.0},{""from"":60,""to"":100,""weight"":0.7},{""from"":100,""to"":300,""weight"":0.4}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
genie,Genie,R branch tier 4 Magic Knockout only; charges accumulate from Mana Power-up uses since Mana Power-ups can be used twice with this talent,R,4,tile,Yes,Magic charge count; at 100 charges: Magic Fists deal additional damage equal to 5% of target current HP; at 200 charges: +5% critical attack chance,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":100,""weight"":1.0},{""from"":100,""to"":200,""weight"":0.7},{""from"":200,""to"":500,""weight"":0.4}]}",0,300,300,Yes,,In Progress,Talent tree screenshots
knight_statue,Knight Statue,L and R branches share the same threshold of 30; L boosts entire row; R boosts direct neighbors; charge mechanic is core to both builds,,,tile,No,Bonus damage charge count; L branch: +1.2% damage to all units in same row per charge up to 30 then +0.3%; R branch: +1.2% to neighbors per charge up to 30 then +0.3%,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.25}]}",0,100,100,Yes,,In Progress,Talent tree screenshots
minotaur,Minotaur,Fury charge counter present for both L and R branches; L: +0.5% per charge; R: +0.75% per charge; both drop to +0.25% after 300,,,tile,No,Fury charge count accumulated from merges and rank increases; L branch: +0.5% extra damage per Fury charge up to 300 then +0.25%; R branch: +0.75% up to 300 then +0.25%,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":300,""weight"":1.0},{""from"":300,""to"":999,""weight"":0.5}]}",0,600,600,Yes,,In Progress,Talent tree screenshots
reaper,Reaper,L branch Ghostly Reaper only — trophy skull counter from instant kills; R branch does not use this counter,L,1,tile,Yes,Trophy skull count from instant kills; each skull +2% damage inflicted by all Reapers on field up to 150 trophies; after 150 each gives only +0.3%,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":150,""weight"":1.0},{""from"":150,""to"":500,""weight"":0.15}]}",0,300,300,Yes,,In Progress,Talent tree screenshots
riding_hood,Riding Hood,R branch Alpha Wolf only — makes charge counter shared across all Riding Hoods on field; ability milestones at 1 5 20 and 40 charges,R,1,tile,Yes,Shared wolf charge count across all Riding Hoods; +1.5% damage per charge up to 40; after 40 each charge gives +0.5%; new abilities unlock at 1 5 20 and 40,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":40,""weight"":1.0},{""from"":40,""to"":200,""weight"":0.33}]}",0,150,150,Yes,,In Progress,Talent tree screenshots
twilight_ranger,Twilight Ranger,Soul counter applies to both L and R branches; both get major buff at 50; tier 4 Crown of Darkness adds a second threshold at 150,,,tile,No,Soul count; at 50 souls: major buff triggered (L: +70% attack speed + 2% instant kill chance; R: Magical Shot damage +200%); at 150 souls: +4% crit chance + 30% Magical Shot damage,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":150,""weight"":0.7},{""from"":150,""to"":300,""weight"":0.4}]}",0,200,200,Yes,,In Progress,Talent tree screenshots
wukong,Wukong,Feat Charge counter present for both branches; L milestone at 30 activates Clone Army; R branch every 7 charges grants genuine Wukong a merge rank,,,tile,No,Feat Charge count; milestone at 30 triggers Clone Army (max clones increases to 6 and they are summoned); R branch: every 7 charges genuine Wukong gains a merge rank,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.7}]}",0,150,150,Yes,,In Progress,Talent tree screenshots
bruiser,Bruiser,L T1 Awakening Rage — Clover counter on Bruiser tile; a Clover is 4 leaves; leaves given by merges and rank-ups nearby; threshold at 50 Clovers,L,1,tile,Yes,Whole Clover count on Bruiser tile; each Clover +23% enraged damage up to 50 Clovers; after 50 bonus reduced to +10% per Clover,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":200,""weight"":0.435}]}",0,100,100,Yes,,In Progress,Talent tree description
bruiser,Bruiser,R T1 Furious Brotherhood — Clover counter shared across all Bruisers; merging or absorbing a Bruiser gives leaves to 3 random Bruisers; threshold at 40 Clovers,R,1,tile,Yes,Whole Clover count on Bruiser tile; each Clover +10% enraged damage to all Bruisers up to 40 Clovers; after 40 bonus reduced to +2% per Clover,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":40,""weight"":1.0},{""from"":40,""to"":200,""weight"":0.2}]}",0,100,100,Yes,,In Progress,Talent tree description
harlequin,Harlequin,Card counter present for both L and R T1 branches; counter cycles 0 to 5 then resets when exchanged for mana; R T2 Masterful Performance has 40% chance to grant an extra card per copy,,,tile,No,Playing card count; cycles from 0 to 5 — at 5 cards the Harlequin exchanges all for mana equal to 100% of summoning cost and counter resets; higher count means mana reward is closer,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":5,""weight"":1.0}]}",0,5,5,Yes,,In Progress,Talent tree description
hunter,Hunter,L T1 Hunting Season only — trophy counter on Hunter tile; each trophy increases summoned boar health rather than Hunter damage; no explicit threshold,L,1,tile,Yes,Trophy count from boss and mini-boss kills (8% chance vs common monsters); each trophy increases boar health sent to opponent by 4%; no documented diminishing-return threshold — treated as linear,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":999,""weight"":1.0}]}",0,100,100,Yes,,In Progress,Talent tree description
hunter,Hunter,R T1 Large Prey only — trophy counter on individual Hunter tile; threshold at 60 trophies sharp dropoff,R,1,tile,Yes,Trophy count per individual Hunter; each trophy +4% damage to this Hunter up to 60 trophies; after 60 trophies bonus drops to +0.5% per trophy,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":60,""weight"":1.0},{""from"":60,""to"":200,""weight"":0.125}]}",0,150,150,Yes,,In Progress,Talent tree description
inquisitor,Inquisitor,L T1 Knight of Light only — boss kill counter on Knight of Light tile; each boss kill +3.5% damage to Knights; no explicit threshold listed,L,1,tile,Yes,Boss kill count on Knight of Light tile; each boss or mini-boss kill +3.5% damage to all active Knights of Light; no diminishing-return threshold in description — treated as linear,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":999,""weight"":1.0}]}",0,100,100,Yes,,In Progress,Talent tree description
inquisitor,Inquisitor,R T1 Knight of Darkness only — rank absorption counter on Knight of Darkness tile; Knight steals rank from other Inquisitors every 12s; threshold at 30 absorptions,R,1,tile,Yes,Rank absorption count on Knight of Darkness tile; each absorbed rank +6% damage to Knight up to 30 absorptions; after 30 absorptions bonus reduced to +3% per absorption,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":30,""weight"":1.0},{""from"":30,""to"":200,""weight"":0.5}]}",0,100,100,Yes,,In Progress,Talent tree description
monk,Monk,L T1 Blessing only — Orb of Power counter on each Monk tile; orbs transferred to intersection Monk on merge/absorb; no explicit damage threshold in description,L,1,tile,Yes,Orb of Power count per individual Monk tile; each orb +6% damage to that Monk; orbs transfer to intersection Monk on merge or absorb; no documented diminishing-return threshold,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":999,""weight"":1.0}]}",0,50,50,Yes,,In Progress,Talent tree description
monk,Monk,R T1 Equilibrium — cumulative balance sphere trigger count; sphere appears on one random Monk at a time; threshold at 50 triggers where per-trigger bonus drops sharply,R,1,tile,Yes,Cumulative balance sphere trigger count (merges and rank-ups while sphere is active); each trigger +9% damage to all Monks up to 50 triggers; after 50 triggers bonus reduced to +2% per trigger,"{""type"":""piecewise"",""segments"":[{""from"":0,""to"":50,""weight"":1.0},{""from"":50,""to"":200,""weight"":0.22}]}",0,100,100,Yes,,In Progress,Talent tree description
