IDENTITY,,,CLASSIFICATION,,,,TALENT & REINCARNATION,,,,,,BOARD MECHANICS,,,,RESEARCH TRACKING,,,
Unit ID,Display Name,Description,Rarity,Faction,Primary Role,Secondary Role,Has Talents?,Talent Unlock Lvl (T1),Talent Unlock Lvl (T2),Talent Unlock Lvl (T3),Talent Unlock Lvl (T4),Has Reincarnation?,Displays Stat Number(s)?,How Many Numbers?,Has Board Animations?,Board Manipulation?,Research Status,Talent Tree Documented?,Animations Documented?,Last Updated
alchemist,Alchemist,"The Alchemist doesn't attack monsters directly. Instead, he leaves acid puddles in random spots around the field of battle. The puddles last longer with a Mana Power-Up. The damage puddles do depends on the unit merge rank and mana power-up.",Rare,Technogenic Society,Support,,Yes,9,11,13,15,No,,,,,,,,4/2
archer,Archer,The Archer attacks the very first target on the path. Increases its attack speed with each Mana Power-Up,Common,Forest Alliance,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
banshee,Banshee,"When on a tile bordering the path, the Banshee activates and starts periodically dealing damage to monsters around her. When Banshees are inactive, they periodically lose their merge rank and give an Orb of Fear to a random active Banshee. Each Orb of Fear increases the damage inflicted. When using the mana ability, all Banshees on the battlefield will start shrieking, inflicting damage to all monsters on the battlefield, while bosses and mini bosses become barred from using their abilites for 2 sec. The effect is used once per every Shriek's duration. The type of damage inflicted by the Banshee is venom. The Banshee is impervious to stunning and paralyzing effects, as well as boosts and defuffs affecting the attack interval.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
banner,Banner,"The Banner does not attack, but increases the attack speed of adjacent units. If a unit is affected by multiple banners, the effect of the Banner with the highest merge rank will be applied.",Rare,Kingdom of Light,Support,,No,,,,,No,,,,,,,,4/2
bard,Bard,"Instead of classic Mana Power-up, this unit has two modes toggled by using the Mana Power-up button. The mode is shared by all Bards. In Attack mode, Bards attack the first target; the projectile then ricochets to a different random monster several times. In the Music mode, Bards are spending mana to accumulate Inspiration, increasing the Inspiration level, and do not attack. The Bard's damage increases in proportion to the Inspiration levels accumulated. Also in the Music mode, Bards make monsters more vulnerable to their attacks. When the amount of mana falls to 100% of the summoning cost, the process of accumulating Inspriation slows down by a factor of 20. After Inspiration level 300, the damage bonus is reduced to 0.25%, after Inspiration level 1000, it is reduced to 0.1%.",Legendary,Kingdom of Light,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
blade_dancer,Blade Dancer,The Balde Dancer attacks the very first target on the path. The Blade Dancer gains increased attack speed and tosses an extra blade at a random target if there are no other Blade Dancers in the adjacent cells. She also deals increased damage for each Blade Dancer on the field. The maximum damage bonus is reached with eight Blade Dancers present.,Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
bombardier,Bombardier,The Bombardier attacks the first non-stunned target on the path that can be stunned. Attacks have a chance of stunning the target. Monsters affected by this cannot move. You'll be much less likely to stun targets a second time.,Common,Technogenic Society,Support,,No,,,,,No,,,,,,,,4/2
boreas,Boreas,"Boreas attacks the very first target on the path. Periodically changes firing phase. The first phase sees a significantly higher rate of fire. During the second phase, all Boreas attacks become critical. Phase durations and the intervals between them depend on the unit level.",Legendary,Forest Alliance,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
bruiser,Bruiser,"The Brusier attacks the first target. If there are 5 monsters present on its side, has a 15% chance to become enraged when a new monster appears. When enraged, receives a bonus to attack speed and damage, and also an area attack. When the enraged state ends, cannot attack or become enraged again for 3 seconds.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
catapult,Catapult,"The Catapult hurls a projectile at the first target, stunning it and dealing area damage. The target can be stunned again only after 9 seconds have elapsed since the start of the stun.",Epic,Kingdom of Light,DPS,,No,,,,,No,,,,,,,,4/2
chemist,Chemist,"The Chemist attacks the first target that does not yet have the Armor Destruction effect. When triggered, the effect increases the damage recieved by the target. If all of the enemies are already affected, he attacks the first target instead. If more than one Chemist hits the same target, the effect from whichever hits first is applied.",Rare,Technogenic Society,Support,,No,,,,,No,,,,,,,,4/2
clock_of_power,Clock of Power,"In PvP mode, the Clock of Power passively affects your opponent's units, reducing their attack speed depending on the sum of their merge ranks. This effect ignores shields and does not make them disappear. After Merging, the Clock signifiantly decreases the attack speed of several units.",Legendary,Kingdom of Light,Support,,No,,,,,No,,,,,,,,4/2
cold_mage,Cold Mage,"The Cold Mage attacks the first target. The Cold Mage's attacks have a slowing effect on monsters. The maximum slowing effect is 50%. Once that number is reachesd, the cold mage switches to the next target.",Common,Magic Council,Support,,Yes,9,11,13,15,No,,,,,,,,4/2
crystalmancer,Crystalmancer,"The Crystalmancer attacks the first target. Damage dealt by every Crystalmancer increases with each hit against the same target. The damage increase is individual for each target and does not reset on target change. Triple damage is attained after approx. 30 hits, fivefold damage after 90 hits.",Epic,Dark Domain,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
cultist,Cultist,"The Cultist attacks the first target and gains an attack against an additional target for every Cultist present in an adjacent tile. A Cultist surrounded by other Cultists on all sides enters an alternate phase with increased damage and an area attack, also increasing the criticial attack chance for the adjacent Cultists. The Cultist's active ability is Sacrifice. Once activated, it destroys Cultists at corner tiles, returning mana to summon a new unit and increasing damage in proportion to the number of Cultists sacrificed.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
demon_hunter,Demon Hunter,"The Demon Hunter attacks severl first targets in the amount equal to the merge rank: one target at rank 1, seven at rank 7. Shots are allocated among the targets without losing any projectiles. Every Demon Hunter Receives an additional damage bonus, depending on the total combined merge rank of the Demon Hunters on the field. On reaching 20 total combined merge rank, the Hunters receive an extra 25% damage, and on reaching 40 they transform to their demonic form and recieve and extra 50% damage.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
demonologist,Demonologist,"In PvP mode the Demonologist, when merged, summons a big monster to the opponent's side. This monster has increased health compared to regular ones, and you receive mana for its death. Mana Power-up lowers the rank of the Demonologist of the highest merge rank and summonsa monster to the opponent's side. Does not require mana, but has a cooldown.",Legendary,Dark Domain,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
dryad,Dryad,"The Dryad attacks the first target. Instead of merging the usual way, increases the merge rank of a unit she merges with.",Legendary,Forest Alliance,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
earth_elemental,Earth Elemental,"The Earth Elemental attacks the first target and increases venom attack damage against monsters. When attacking, has a chance (limited by interval) to throw a special projectile at a monster, infecting them to increase the venom damage they recieve for each infection charge. The Earth Elemental's attacks also inflict increased damage for every infection charge on the monster.",Epic,Forest Alliance,Support,,No,,,,,No,,,,,,,,4/2
enchanted_sword,Enchanted Sword,"The Enchanted Sword attacks a random target, and its attacks inflict area damage. Merging a blue Sword will increase the damage inflicted by the player's random units, and merging a red Sword will decrease the damage inflicted by the opponent's random units. Enhancements have cumulative effects, and when the maximum buffs are reached, the unit will receive an increase to its critical attack chance. Repeated weakening becomes Exhaustion, temporarily increasing its effect before completely disappearing. If a player's deck contains a Knight Statue unit as well as a Sword, the effect of the enhancement is reduced by 5 times.",Legendary,Magic Council,Hybrid,,Yes,9,11,13,15,Yes,,,,,,,,4/2
engineer,Engineer,"The Engineer attacks the first target. If there is another Engineer in an adjacent cell, they are considered linked. For every linked Engineer the damage inflicted by all Engineers in the chain is increased.",Epic,Technogenic Society,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
fire_mage,Fire Mage,The Fire Mage attacks the very first target on the path. Each attack summons a firey explosion that does damage to all monsters around the target.,Common,Magic Council,DPS,,No,,,,,No,,,,,,,,4/2
franky_and_stein,Franky & Stein,"Stein is always on the path, pursuing the first monster. Instead of attacking, Franky sends signals to Stein, causing him to preform an attack for each signal. The rate of Franky sending signals increases with attack speed. Stein's attack damage is a sum of values from every Franky on the field. Mana Power-up moves Stein to the first monster dealing 70% of Steins critical damage in the area. Up to 3 movements can be performed in a row. Movements have a cooldown time of 10 sec. When any big summoned monster (e.g. Mari's slime, Demonologists monster, etc) is killed by the opponents, Stein gains 1 bolt that increases the damage he deals by 5% up to 200 bolts, or by 1% after that number. When merged, Franky summons a big monster to the enemy's path. Stein's new abilities: 30 Bolts: attack speed is increased by the factor of 2, 60 bolts: attack radius is increased by the factor of 2.",Legendary,Technogenic Society,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
frost,Frost,"Frost attacks the very first target on the path. Periodically applies Blizzard to all monsters on the path, which slows them and applies Frostbite. The effect of multiple Blizzards stacks. The Frostbit effect deals periodic damage to monsters every .4 seconds. Repeatedly applying Blizzard applies an additional Frostbite effect. Each stack increases Frostbite damage by 100%. The Blizzard effect's slowing power increases with merge rank. The maximum slowing effect is 50%.",Legendary,Dark Domain,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
gargoyle,Gargoyle,"The Gargoyle attacks the first target on the path. There's some proability that it can appear in stoney form, reinforcing neighboring gargoyles and granting them additional area attacks. The damage inflicted by the attack will depend on the stone Gargoyle's merge rank. In its stoney form, the Gargoyle is invulnerable to negative effects.",Epic,Kingdom of Light,DPS,,No,,,,,No,,,,,,,,4/2
genie,Genie,"The Genie attacks the first target. Appears in the activated state and activates other Genies in the line. When an activated Genie attacks, it creates a temporary vortex on the path. The vortex follows the path to the next center and also deals damage around itself. A Genie cannot create another vortex until the previous one has disappeared, and the duration of the activated state is time-limited. A Genie's Mana Power-up does not require mana, but has a cooldown. Mana Power-up causes a series of attacks that deal damage to the area and the first monster. The damage bonus from each activation after 200 decreases to 0.65%.",Legendary,Magic Council,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
grindstone,Grindstone,"The Grindstone does not attack but allows the adjacent units to inflict additional damage. If a unit is affected by several Grindstones, the effect from the Grindstone with the highest merge rank is applied. The additional damage caused by attacking multiple targets is significantly reduced.",Rare,Technogenic Society,Support,,Yes,9,11,13,15,No,,,,,,,,4/2
gunslinger,Gunslinger,The Gunslinger attacks the first target. Alternates between two modes: standard firing and a rapid Shootout mode with greatly increased attack speed and multi-target hits. Mana Power-up triggers Shootout mode instantly.,Legendary,Dark Domain,Hybrid,,Yes,9,11,13,15,Yes,,,,,,,,4/2
harlequin,Harlequin,"The Harlequin can turn into a copy of a unit with the same merge rank. The resulting unit has reduced damage based on the Harlequin's levels. The abilities of units that do not deal damage will not change at all. The effect remains until the unit is merged with another one, or it is moved by Portal Keeper. The Clown unit in decks with a Harlequin always fails when attempting to copy units.",Legendary,Dark Domain,Support,,Yes,9,11,13,15,Yes,,,,,,,,4/2
hex,Hex,The Hex does not attack directly. It adds an instant-kill chance to all units on the four adjacent tiles. The probability of instant kill increases with merge rank.,Legendary,Dark Domain,Support,,No,,,,,No,,,,,,,,4/2
hunter,Hunter,The Hunter attacks a random target and deals extra damage with the first shot at each new target.,Common,Forest Alliance,DPS,,Yes,9,11,13,15,No,,,,,,,,4/2
inquisitor,Inquisitor,"The Inquisitor attacks the first target. Damage increases with each consecutive hit on the same target, up to a maximum of 500% base damage. When 1, 4, or 7 Inquisitors are on the board simultaneously, they activate a special ability granting increased attack speed and area-of-effect damage. Knight Statue adjacency provides a significant additional buff.",Legendary,Kingdom of Light,DPS,,Yes,9,11,13,15,Yes,,,,,,,,4/2
