ENTITY,,,,,RATING,,,,,CONTEXT,,,,TRACKING,,
Entity ID,Display Name,Entity Type,Talent Build Code,Notes,Tier Letter (S/A/B/C/D),Numeric Score (0-10),Assumed Level,Patch Version,Date Assessed,Role in Meta,Matchup Strengths,Matchup Weaknesses,Justification / Notes,Research Status,Assessor,Last Updated
wukong,Wukong,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,S,9.5,15 (max),35.0,April 2026,Main carry with premium clone scaling,"High damage ceiling, flexible talent path, good vs most decks",Requires investment; underperforms in early game,"Update 35.0 headline unit. Clone-based scaling with exceptional talent upside. S-tier at max, poor at low levels.",In Progress,AI Research,2026-04-06
wukong,Wukong,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",C,4,7-9 (no talents),35.0,April 2026,Main carry with premium clone scaling — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,"Floor estimate for win prediction when unit has no talent icon visible. Update 35.0 headline unit. Clone-based scaling with exceptional talent upside. S-tier at max, poor at low levels.",In Progress,AI Research,2026-04-06
bard,Bard,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,S,9.3,15 (max),35.0,April 2026,Hybrid DPS/Support carry,"AoE bounce damage, Music Mode inspiration stacks, versatile mode-switching",Complex to play; needs active management; weak without mana for Music Mode,Toggle mana mechanic unique in game. Damage scales with Inspiration — becomes dominant in longer matches.,In Progress,AI Research,2026-04-06
bard,Bard,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",C,4,7-9 (no talents),35.0,April 2026,Hybrid DPS/Support carry — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Toggle mana mechanic unique in game. Damage scales with Inspiration — becomes dominant in longer matches.,In Progress,AI Research,2026-04-06
genie,Genie,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (C) = low-level estimate.,S,9.2,15 (max),35.0,April 2026,Main DPS carry with board-clearing utility,Vortex naturally clears junk ranks; safe board; stacks attack speed/damage,Needs merges to stack Vortex — struggles if forced to hold board state,Manages its own board presence while scaling. One of safest carries in game.,In Progress,AI Research,2026-04-06
genie,Genie,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",C,4,7-9 (no talents),35.0,April 2026,Main DPS carry with board-clearing utility — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Manages its own board presence while scaling. One of safest carries in game.,In Progress,AI Research,2026-04-06
dryad,Dryad,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (B) = low-level estimate.,S,9,15 (max),35.0,April 2026,Premium support — rank-boosting,Works in nearly every carry deck; accelerates power spikes; multiple synergies,No damage output; takes a deck slot; needs carries to buff,Support value so universal it's nearly mandatory in high-level play.,In Progress,AI Research,2026-04-06
dryad,Dryad,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",B,5.5,7-9 (no talents),35.0,April 2026,Premium support — rank-boosting — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. Support value so universal it's nearly mandatory in high-level play.,In Progress,AI Research,2026-04-06
treant,Treant,Unit,ALL (max level),MAX-LEVEL tier. Floor tier (D) = low-level estimate.,S,9,15 (max),35.0,April 2026,Tank/DPS carry with infinite scaling,Unlimited Leaf stack growth; high health; scales indefinitely,Slow start; needs merges to build stacks; weak early waves,S-tier only at high investment. D-tier without talents and stacks. Biggest tier gap in the game.,In Progress,AI Research,2026-04-06
treant,Treant,Unit,NONE (no talents),"LOW-LEVEL estimate (no talents, level 7-9). Ceiling tier (S) = max level.",D,2.5,7-9 (no talents),35.0,April 2026,Tank/DPS carry with infinite scaling — pre-talent,Same base mechanics but no talent bonuses,All talent-dependent strengths unavailable,Floor estimate for win prediction when unit has no talent icon visible. S-tier only at high investment. D-tier without talents and stacks. Biggest tier gap in the game.,In Progress,AI Research,2026-04-06
